A000062,A000161,A000186,B000201,B000223,B000254,B000384,B000436,B000593,B000813,B001077,B001208,B001209,B001210,C000120,C000154,C000220,C000388,C000444,C000758,C000802,C001006,D000360,D000390,D000409,D000456,E000018,E000112,E000211,F000013,F000245,F000401,G000320,G000465,G000508,H000237,H000291,H000297,H000385,H000559,H000598,H000720,H000875,I000025,J000013,J000064,J000195,J000267,J000269,K000105,K000114,K000335,L000122,L000415,L000428,M000053,M000113,M000311,M000332,M000445,M000452,M000486,M000582,M000671,M000730,M000851,M000859,M000876,M001014,M001022,M001033,M001078,M001092,M001121,N000033,N000052,P000100,P000166,P000193,P000552,P000553,R000046,R000191,R000317,R000525,R000536,S000021,S000174,S000434,S000505,S000590,S000701,S000852,S001136,T000035,T000254,T000322,T000445,W000502,W000518,Y000006,Y000047,Y000053,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,1965-06-15,0,,unknown,hr8371,None,House Ways and Means,"An Act to reduce excise taxes, and for other purposes",nan
Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,1965-06-15,0,,unknown,hr8371,None,House Ways and Means,"An Act to reduce excise taxes, and for other purposes",nan
Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,1965-06-16,0,,unknown,hr8464,None,House Ways and Means,"An Act to provide for the period beginning or July 1, 1965, and ending on June 30, 1966, a temporary increase in the public debt limit set forth in section 21 of the Second Liberty Bond Act",nan
Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,1965-06-16,0,,unknown,s559,None,"Senate Commerce, Science, and Transportation","An Act to regulate the labeling of cigarettes, and for other purposes",nan
Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,1965-06-16,0,,unknown,s559,None,"Senate Commerce, Science, and Transportation","An Act to regulate the labeling of cigarettes, and for other purposes",nan
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,1965-06-17,0,,unknown,sres107,,,,
Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,1965-06-17,0,,unknown,hr7777,None,House Energy and Commerce,"An Act to authorize the President to appoint Gen. William F. McKee (U.S. Air Force, retired) to the office of Administrator of the Federal Aviation Agency",nan
Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,1965-06-17,0,,unknown,hr7777,None,House Energy and Commerce,"An Act to authorize the President to appoint Gen. William F. McKee (U.S. Air Force, retired) to the office of Administrator of the Federal Aviation Agency",nan
Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,1965-06-22,0,,unknown,hr6453,None,House Appropriations,"An Act making appropriations for the Government of the District of Columbia and other activities chargeable in whole or in part against the revenues of said District for the fiscal year ending June 30, 1966, and for other purposes",nan
Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1965-06-22,0,,unknown,hr6453,None,House Appropriations,"An Act making appropriations for the Government of the District of Columbia and other activities chargeable in whole or in part against the revenues of said District for the fiscal year ending June 30, 1966, and for other purposes",nan
Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,1965-06-24,0,,unknown,s2080,None,"Senate Banking, Housing, and Urban Affairs",An Act to provide for the coinage of the United States,nan
Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,1965-06-24,0,,unknown,s2080,None,"Senate Banking, Housing, and Urban Affairs",An Act to provide for the coinage of the United States,nan
Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,1965-06-24,0,,unknown,s2080,None,"Senate Banking, Housing, and Urban Affairs",An Act to provide for the coinage of the United States,nan
Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,1965-06-24,0,,unknown,s2080,None,"Senate Banking, Housing, and Urban Affairs",An Act to provide for the coinage of the United States,nan
Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,1965-06-24,0,,unknown,s2080,None,"Senate Banking, Housing, and Urban Affairs",An Act to provide for the coinage of the United States,nan
Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1965-06-24,0,,unknown,s2080,None,"Senate Banking, Housing, and Urban Affairs",An Act to provide for the coinage of the United States,nan
Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,1965-06-28,0,,unknown,s596,None,Senate Labor and Human Resources,"An Act to amend the Public Health Service Act to assist in combating heart disease, cancer, and stroke, and other major diseases",nan
Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,1965-06-28,0,,unknown,hr8349,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,1965-06-28,0,,unknown,hr8349,,,,
Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,1965-06-29,0,,unknown,hr8147,None,House Ways and Means,"An Act to amend the Tariff Schedules of the United States with respect to the exemption from duty for returning residents, and for other purposes",nan
Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,1965-06-29,0,,unknown,hr8147,None,House Ways and Means,"An Act to amend the Tariff Schedules of the United States with respect to the exemption from duty for returning residents, and for other purposes",nan
Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,1965-06-29,0,,unknown,hr8147,None,House Ways and Means,"An Act to amend the Tariff Schedules of the United States with respect to the exemption from duty for returning residents, and for other purposes",nan
Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,1965-06-29,0,,unknown,hr8147,None,House Ways and Means,"An Act to amend the Tariff Schedules of the United States with respect to the exemption from duty for returning residents, and for other purposes",nan
Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,1965-06-29,0,,unknown,hr8147,None,House Ways and Means,"An Act to amend the Tariff Schedules of the United States with respect to the exemption from duty for returning residents, and for other purposes",nan
Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,1965-07-06,0,,unknown,sjres1,,,,
Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1965-07-07,0,,unknown,hr6675,None,House Ways and Means,"An Act to provide a hospital insurance program for the aged under the Social Security Act with a supplementary health benefits program and an expanded program of medical assistance, to increase benefits under the Old-Age, Survivors, and Disability Insurance System, to improve the Federal-State public assistance programs, and far other purposes",nan
