A000062,A000127,A000161,A000186,B000063,B000254,B000351,B000384,B000436,B000593,B000871,B001077,B001209,B001210,C000120,C000220,C000388,C000721,C000758,C000802,C000877,C001006,D000360,D000390,D000401,D000409,E000004,E000018,E000112,E000211,F000013,F000245,F000401,G000267,G000282,G000320,G000388,G000465,G000531,H000170,H000237,H000291,H000297,H000343,H000720,H000725,H000875,H000922,I000025,J000013,J000064,J000267,J000269,K000105,L000428,M000053,M000113,M000241,M000311,M000332,M000445,M000452,M000486,M000671,M000730,M000851,M000876,M001033,M001078,M001092,M001121,N000033,P000009,P000100,P000166,P000193,P000222,P000552,P000553,R000046,R000191,R000536,S000096,S000159,S000174,S000590,S000602,S000701,S000739,S000852,S000888,S000890,S001136,T000035,T000254,T000322,T000445,W000502,W000518,Y000006,Y000047,Y000053,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,1970-02-28,0,,unknown,hr15931,None,House Appropriations,"An Act making appropriations for the Departments of Labor, and Health, Education; and Welfare, and related agencies, for the fiscal year ending June 30, 1970, and for other purposes",nan
Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,1970-02-28,0,,unknown,hr15931,None,House Appropriations,"An Act making appropriations for the Departments of Labor, and Health, Education; and Welfare, and related agencies, for the fiscal year ending June 30, 1970, and for other purposes",nan
Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,1970-02-28,0,,unknown,hr15931,None,House Appropriations,"An Act making appropriations for the Departments of Labor, and Health, Education; and Welfare, and related agencies, for the fiscal year ending June 30, 1970, and for other purposes",nan
Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,1970-02-28,0,,unknown,hr15931,None,House Appropriations,"An Act making appropriations for the Departments of Labor, and Health, Education; and Welfare, and related agencies, for the fiscal year ending June 30, 1970, and for other purposes",nan
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1970-03-04,0,,unknown,hr15931,None,House Appropriations,"An Act making appropriations for the Departments of Labor, and Health, Education; and Welfare, and related agencies, for the fiscal year ending June 30, 1970, and for other purposes",nan
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,1970-03-04,0,,unknown,sjres180,None,nan,Joint resolution to provide for a temporary prohibition of strikes or lockouts with respect to the current railway labor-management dispute,nan
Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,1970-03-05,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,1970-03-06,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,1970-03-06,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,1970-03-09,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,1970-03-09,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,1970-03-09,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,1970-03-10,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1970-03-10,0,,unknown,hr6543,None,House Energy and Commerce,"An Act to extend public health protection with respect to cigarette smoking, and for other purposes",nan
Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,1970-03-10,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,1970-03-10,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,1970-03-10,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1970-03-11,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,1970-03-11,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,1970-03-11,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,1970-03-11,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,1970-03-12,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,1970-03-12,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,1970-03-12,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1970-03-12,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,1970-03-12,0,,unknown,hr4249,None,House Judiciary,An Act to extend the Voting Rights Act of 1965 with respect to the discriminatory use of tests and devices,nan
